State,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
S,S,-0.01,0.03,0.98,3.97,0.73,-0.49,-23.55,52.55,-400.00
S,S,-0.00,0.03,0.98,4.27,0.92,-0.55,-24.05,52.81,-400.00
S,S,-0.01,0.02,0.98,4.33,0.92,-0.67,-24.05,52.81,-400.00
S,S,-0.01,0.03,0.98,4.27,0.85,-0.55,-24.05,52.81,-400.00
S,S,-0.01,0.03,0.98,4.03,0.92,-0.43,-23.60,52.00,-400.00
S,S,-0.01,0.03,0.98,4.21,0.98,-0.49,-23.60,52.00,-400.00
S,S,-0.00,0.03,0.98,4.09,0.79,-0.49,-23.60,52.00,-400.00
S,S,-0.01,0.03,0.98,4.09,0.73,-0.61,-23.60,52.00,-400.00
S,S,-0.01,0.03,0.98,4.09,0.73,-0.55,-23.51,52.69,-400.00
S,S,-0.01,0.03,0.98,3.85,0.79,-0.49,-23.51,52.69,-400.00
S,S,-0.01,0.03,0.98,4.15,0.73,-0.55,-23.51,52.69,-400.00
S,S,-0.01,0.03,0.98,3.91,0.92,-0.49,-23.39,52.38,-400.00
S,S,-0.00,0.03,0.98,3.91,0.92,-0.55,-23.39,52.38,-400.00
S,S,-0.01,0.03,0.98,4.03,0.73,-0.61,-23.39,52.38,-400.00
S,S,-0.01,0.03,0.98,4.03,0.85,-0.55,-23.25,51.65,-400.00
S,S,-0.01,0.03,0.98,4.15,0.79,-0.43,-23.25,51.65,-400.00
S,S,-0.00,0.03,0.98,4.39,0.85,-0.67,-23.25,51.65,-400.00
S,S,-0.00,0.03,0.98,3.85,0.67,-0.49,-23.25,51.65,-400.00
S,S,-0.01,0.03,0.98,3.91,0.85,-0.67,-24.30,51.84,-400.00
S,S,-0.01,0.03,0.98,3.91,0.73,-0.49,-24.30,51.84,-400.00
S,S,-0.00,0.03,0.98,3.91,0.85,-0.61,-24.30,51.84,-400.00
S,S,-0.00,0.03,0.98,4.09,0.79,-0.61,-23.32,52.82,-400.00
S,S,-0.01,0.03,0.98,4.03,0.79,-0.55,-23.32,52.82,-400.00
S,S,-0.00,0.03,0.98,3.97,0.67,-0.55,-23.32,52.82,-400.00
S,S,-0.00,0.03,0.98,3.78,0.85,-0.67,-23.32,52.82,-400.00
S,S,-0.01,0.03,0.98,4.03,0.67,-0.61,-24.26,51.79,-400.00
S,S,-0.01,0.03,0.98,4.09,0.67,-0.67,-24.26,51.79,-400.00
S,S,-0.01,0.03,0.98,4.03,0.61,-0.73,-24.26,51.79,-400.00
S,S,-0.01,0.02,0.98,3.97,0.79,-0.67,-25.27,52.72,-400.00
S,S,-0.01,0.02,0.98,4.03,0.85,-0.49,-25.27,52.72,-400.00
S,S,-0.01,0.03,0.98,4.15,0.98,-0.67,-25.27,52.72,-400.00
S,S,-0.01,0.03,0.98,4.15,0.79,-0.61,-22.14,51.88,-400.00
S,S,-0.00,0.03,0.98,4.03,0.79,-0.67,-24.39,51.88,-400.00
S,S,-0.01,0.03,0.98,4.09,0.98,-0.61,-24.39,51.88,-400.00
S,S,-0.01,0.03,0.98,3.97,0.92,-0.49,-24.39,51.88,-400.00
S,S,-0.01,0.03,0.98,4.15,0.85,-0.55,-23.83,52.28,-400.00
S,S,-0.00,0.02,0.98,3.91,0.98,-0.43,-23.83,52.28,-400.00
S,S,-0.00,0.03,0.98,4.09,0.98,-0.67,-23.83,52.28,-400.00
S,S,-0.00,0.03,0.98,4.15,0.98,-0.61,-24.11,52.67,-400.00
S,S,-0.01,0.03,0.98,4.09,0.85,-0.61,-24.11,52.67,-400.00
S,S,-0.01,0.03,0.98,4.15,0.73,-0.55,-24.11,52.67,-400.00
S,S,-0.00,0.03,0.98,4.09,0.73,-0.61,-24.11,52.67,-400.00
S,S,-0.01,0.03,0.98,4.09,0.67,-0.61,-23.55,52.15,-400.00
S,S,-0.01,0.02,0.98,4.03,0.73,-0.67,-23.55,52.15,-400.00
S,S,-0.01,0.02,0.98,4.09,0.79,-0.61,-23.55,52.15,-400.00
S,S,-0.01,0.02,0.98,3.97,0.79,-0.67,-24.56,52.05,-400.00
S,S,-0.01,0.03,0.98,3.91,0.67,-0.61,-24.56,52.05,-400.00
S,S,-0.00,0.03,0.98,4.03,0.85,-0.61,-24.56,52.05,-400.00
S,S,-0.00,0.03,0.98,4.21,0.73,-0.73,-24.56,52.05,-400.00
S,S,-0.00,0.03,0.98,4.09,0.79,-0.61,-24.61,52.33,-400.00
S,S,-0.01,0.03,0.98,4.03,0.61,-0.55,-24.61,52.33,-400.00
S,S,-0.01,0.02,0.98,4.21,0.73,-0.61,-24.61,52.33,-400.00
S,S,-0.01,0.02,0.98,4.03,0.79,-0.67,-23.88,52.61,-400.00
S,S,-0.01,0.02,0.98,4.21,0.85,-0.55,-23.88,52.61,-400.00
S,S,-0.01,0.03,0.98,4.09,0.73,-0.55,-23.88,52.61,-400.00
S,S,-0.00,0.03,0.98,3.97,0.92,-0.55,-24.50,52.53,-400.00
S,S,-0.00,0.03,0.98,4.03,0.79,-0.55,-24.50,52.53,-400.00
S,S,-0.00,0.03,0.98,4.21,0.73,-0.79,-24.50,52.53,-400.00
S,S,-0.01,0.03,0.98,4.09,0.79,-0.43,-24.50,52.53,-400.00
S,S,-0.01,0.03,0.98,4.03,0.79,-0.61,-23.93,52.59,-400.00
S,S,-0.01,0.02,0.98,4.15,0.92,-0.49,-23.93,52.59,-400.00
S,S,-0.01,0.03,0.98,4.15,0.85,-0.49,-23.93,52.59,-400.00
S,S,-0.01,0.02,0.98,4.09,0.73,-0.55,-24.12,52.99,-400.00
S,S,-0.00,0.03,0.98,4.15,0.98,-0.49,-24.12,52.99,-400.00
S,S,-0.01,0.03,0.98,4.15,0.85,-0.55,-24.12,52.99,-400.00
S,S,-0.01,0.03,0.98,4.15,0.79,-0.67,-24.12,52.99,-400.00
S,S,-0.01,0.03,0.98,4.03,0.73,-0.55,-24.22,52.27,-400.00
S,S,-0.01,0.03,0.98,4.15,0.79,-0.61,-24.22,52.27,-400.00
S,S,-0.00,0.03,0.98,4.09,0.92,-0.55,-24.22,52.27,-400.00
S,S,-0.00,0.03,0.98,3.97,0.92,-0.61,-24.34,52.53,-400.00
S,S,-0.00,0.03,0.98,3.78,0.79,-0.61,-24.34,52.53,-400.00
S,S,-0.01,0.03,0.98,3.97,1.04,-0.61,-24.34,52.53,-400.00
S,S,-0.01,0.03,0.98,4.15,0.67,-0.55,-24.34,52.42,-400.00
S,S,-0.01,0.03,0.98,4.21,0.73,-0.61,-24.19,52.42,-400.00
S,S,-0.01,0.03,0.98,3.85,0.79,-0.49,-24.19,52.42,-400.00
S,S,-0.01,0.02,0.98,4.03,0.73,-0.55,-24.19,52.42,-400.00
S,S,-0.01,0.03,0.98,4.03,0.73,-0.73,-23.72,51.78,-400.00
S,S,-0.01,0.03,0.98,3.97,0.85,-0.55,-23.72,51.78,-400.00
S,S,-0.01,0.03,0.98,4.27,0.79,-0.61,-23.72,51.78,-400.00
S,S,-0.00,0.03,0.98,4.21,0.73,-0.61,-23.91,52.50,-400.00
S,S,-0.00,0.03,0.98,4.03,0.85,-0.67,-23.91,52.50,-400.00
S,S,-0.00,0.03,0.98,4.15,0.79,-0.55,-23.91,52.50,-400.00
S,S,-0.01,0.03,0.98,4.03,0.73,-0.49,-23.91,52.50,-400.00
S,S,-0.01,0.02,0.98,4.15,0.61,-0.67,-23.52,52.36,-400.00
S,S,-0.01,0.03,0.98,4.03,0.67,-0.67,-23.52,52.36,-400.00
S,S,-0.01,0.03,0.98,3.97,0.85,-0.67,-23.52,52.36,-400.00
S,S,-0.01,0.03,0.98,3.91,0.85,-0.61,-23.35,52.34,-400.00
S,S,-0.01,0.03,0.98,3.85,0.73,-0.49,-23.35,52.34,-400.00
S,S,-0.01,0.02,0.98,4.03,0.79,-0.49,-23.35,52.34,-400.00
S,S,-0.01,0.03,0.98,4.03,0.98,-0.61,-23.35,52.34,-400.00
S,S,-0.01,0.03,0.98,3.97,1.04,-0.55,-23.73,52.32,-400.00
S,S,-0.00,0.03,0.98,4.03,0.92,-0.67,-23.73,52.32,-400.00
S,S,-0.00,0.03,0.98,3.91,0.79,-0.61,-23.73,52.32,-400.00
S,S,-0.01,0.03,0.98,4.03,0.98,-0.61,-24.46,52.14,-400.00
S,S,-0.01,0.03,0.98,4.03,0.79,-0.43,-24.46,52.14,-400.00
S,S,-0.01,0.03,0.98,4.15,0.73,-0.49,-24.46,52.14,-400.00
S,S,-0.01,0.02,0.98,4.15,0.61,-0.61,-24.28,52.40,-400.00
S,S,-0.01,0.03,0.98,4.21,0.73,-0.55,-24.28,52.40,-400.00
